00c359f294f7dcd9,"[322.37, 368.64, 118.63, 51.07]",G-ATCO,"[322.37, 391.39, 436.35, 368.64, 441.0, 400.44, 326.78, 419.71]",6058.43
00c359f294f7dcd9,"[865.36, 322.28, 33.92, 11.57]",HUSKY,"[865.36, 327.84, 897.5, 322.28, 899.28, 328.4, 865.59, 333.85]",392.45
00c359f294f7dcd9,"[150.68, 313.56, 19.87, 18.85]",+,"[150.68, 315.94, 168.73, 313.56, 170.55, 330.93, 151.59, 332.41]",374.55
01aa9b9a3520fc0c,"[595.2, 176.31, 98.68, 37.15]",COURTS,"[595.2, 194.61, 691.67, 176.31, 693.88, 198.49, 599.64, 213.46]",3665.96
01aa9b9a3520fc0c,"[762.63, 153.03, 80.38, 41.02]",199,"[762.63, 166.33, 841.9, 153.03, 843.01, 183.52, 765.95, 194.05]",3297.19
01aa9b9a3520fc0c,"[971.63, 128.64, 51.56, 30.49]",PO,"[971.63, 136.4, 1020.97, 128.64, 1023.19, 154.14, 971.63, 159.13]",1572.06
01aa9b9a3520fc0c,"[143.7, 399.51, 111.76, 40.34]",MARIETTA,"[150.0, 399.51, 255.46, 408.34, 252.52, 439.85, 143.7, 428.08]",4508.4
01aa9b9a3520fc0c,"[265.54, 406.66, 114.7, 44.53]",POLICE,"[272.27, 406.66, 380.24, 415.06, 372.26, 451.19, 265.54, 441.53]",5107.59
01aa9b9a3520fc0c,"[419.07, 390.41, 41.72, 28.97]",5289,"[421.94, 390.41, 460.79, 392.96, 457.28, 419.38, 419.07, 416.2]",1208.63
002790511b9920a5,"[24.01, 1.94, 116.85, 32.98]",Última,"[24.95, 1.94, 140.86, 2.88, 140.86, 34.92, 24.01, 33.98]",3853.71
002790511b9920a5,"[146.51, 7.59, 114.96, 28.27]",Hora-,"[147.45, 7.59, 261.47, 7.59, 261.47, 35.86, 146.51, 35.86]",3249.92
002790511b9920a5,"[264.3, 7.59, 142.29, 32.99]",Arquivo,"[265.24, 7.59, 405.65, 7.59, 406.59, 39.63, 264.3, 40.58]",4694.15
002790511b9920a5,"[409.42, 5.71, 131.93, 31.1]",Público,"[409.42, 5.71, 540.4, 6.65, 541.35, 36.81, 410.36, 34.92]",4103.02
002790511b9920a5,"[545.11, 7.59, 49.01, 28.27]",do,"[546.06, 7.59, 594.12, 8.54, 594.12, 35.86, 545.11, 33.98]",1385.51
002790511b9920a5,"[598.83, 7.59, 128.15, 27.33]",Estado,"[599.77, 7.59, 726.98, 7.59, 726.04, 34.92, 598.83, 33.98]",3502.34
